user_id,item_id,event_type,watch_seconds,timestamp
u198,i194,pause,229,2025-01-09T07:02:00
u120,i257,play,2545,2025-01-08T15:21:00
u212,i178,skip,20,2025-02-26T15:49:00
u111,i195,play,202,2025-01-06T04:46:00
u81,i101,play,2276,2025-01-03T17:54:00
u183,i143,play,1056,2025-02-03T04:28:00
u220,i144,pause,260,2025-02-26T10:27:00
u188,i178,pause,244,2025-02-08T19:54:00
u63,i121,like,1610,2025-02-13T20:07:00
u133,i101,play,3398,2025-02-05T02:39:00
u16,i223,play,1527,2025-02-14T05:40:00
u93,i211,play,746,2025-01-06T00:11:00
u192,i162,like,1513,2025-01-07T21:19:00
u13,i137,play,1435,2025-02-09T03:51:00
u32,i173,play,3291,2025-01-01T11:30:00
u176,i250,like,332,2025-02-19T20:32:00
u219,i100,complete,2734,2025-02-19T20:39:00
u213,i75,play,410,2025-01-23T07:23:00
u45,i243,like,3521,2025-01-06T19:00:00
u190,i125,play,3382,2025-02-14T09:51:00
u34,i19,complete,3230,2025-02-02T23:37:00
u152,i20,play,3279,2025-02-14T17:06:00
u32,i158,complete,2961,2025-01-08T20:40:00
u122,i137,play,2863,2025-01-04T08:37:00
u64,i39,complete,1461,2025-01-20T23:08:00
u172,i205,play,1317,2025-01-21T06:36:00
u45,i193,play,370,2025-02-06T10:57:00
u152,i100,pause,220,2025-02-15T07:41:00
u108,i253,play,1855,2025-01-13T00:38:00
u14,i247,play,577,2025-02-21T04:17:00
u59,i35,complete,1055,2025-02-18T08:28:00
u110,i114,play,1833,2025-02-24T04:09:00
u130,i157,play,1914,2025-02-04T22:13:00
u126,i238,pause,273,2025-01-27T19:30:00
u120,i256,play,2454,2025-02-10T18:01:00
u65,i199,play,522,2025-01-31T15:28:00
u188,i85,play,2387,2025-01-05T13:58:00
u207,i198,like,1415,2025-01-24T11:57:00
u214,i171,play,2444,2025-01-24T01:52:00
u173,i53,play,2906,2025-01-04T05:30:00
u54,i200,play,1652,2025-01-26T10:42:00
u132,i212,play,2854,2025-02-08T18:06:00
u119,i163,play,3340,2025-01-15T11:11:00
u69,i175,complete,2817,2025-01-07T08:30:00
u166,i250,skip,14,2025-01-03T03:10:00
u41,i211,play,2250,2025-01-31T04:26:00
u151,i112,play,2846,2025-02-20T00:29:00
u192,i25,complete,2521,2025-02-18T22:49:00
u53,i190,like,2135,2025-02-16T12:50:00
u112,i112,save,126,2025-02-19T08:38:00
u115,i246,play,1575,2025-01-04T08:07:00
u56,i194,play,805,2025-03-01T00:51:00
u120,i45,save,112,2025-02-09T22:31:00
u20,i170,play,1628,2025-02-27T03:46:00
u67,i133,complete,717,2025-01-01T14:18:00
u157,i29,play,432,2025-02-13T21:32:00
u47,i26,play,404,2025-01-05T04:35:00
u219,i108,play,963,2025-02-25T04:16:00
u191,i49,play,766,2025-02-02T08:44:00
u203,i82,play,803,2025-02-05T10:21:00
u89,i143,pause,150,2025-02-14T19:05:00
u177,i73,play,2599,2025-02-08T01:43:00
u218,i112,skip,23,2025-02-22T05:50:00
u159,i98,complete,674,2025-02-17T18:50:00
u114,i193,complete,1048,2025-01-24T16:35:00
u82,i202,play,892,2025-01-18T05:23:00
u147,i41,skip,22,2025-02-06T07:12:00
u118,i109,pause,217,2025-01-27T04:37:00
u39,i136,like,992,2025-02-20T12:49:00
u170,i228,pause,227,2025-01-20T22:20:00
u117,i72,play,280,2025-02-22T09:12:00
u97,i224,pause,189,2025-02-10T23:29:00
u140,i37,play,1318,2025-01-04T22:18:00
u6,i40,play,633,2025-01-16T10:37:00
u193,i156,play,1294,2025-01-05T17:31:00
u176,i257,skip,25,2025-01-09T04:29:00
u60,i184,complete,979,2025-02-27T20:30:00
u199,i167,play,828,2025-01-01T01:20:00
u166,i247,like,1489,2025-02-18T20:31:00
u164,i234,play,1329,2025-01-18T15:24:00
u117,i157,play,2774,2025-02-28T17:02:00
u6,i14,play,3016,2025-02-14T18:19:00
u218,i184,save,82,2025-01-28T00:14:00
u151,i64,play,2287,2025-01-27T09:14:00
u44,i96,play,1513,2025-02-23T01:07:00
u94,i236,play,2570,2025-01-06T01:12:00
u152,i111,complete,2056,2025-02-19T10:53:00
u60,i198,play,862,2025-02-18T05:12:00
u15,i224,complete,544,2025-01-10T16:41:00
u33,i244,pause,186,2025-01-08T00:38:00
u65,i74,complete,2768,2025-01-25T05:15:00
u183,i184,complete,2652,2025-01-05T05:48:00
u187,i231,skip,13,2025-01-01T00:12:00
u94,i242,save,37,2025-01-24T23:02:00
u62,i219,complete,1765,2025-02-16T18:02:00
u130,i68,skip,8,2025-02-14T13:27:00
u154,i100,complete,2220,2025-01-22T04:23:00
u177,i181,complete,2511,2025-02-24T12:04:00
u136,i105,complete,3516,2025-01-18T02:58:00
u123,i88,like,2217,2025-01-18T12:34:00
u175,i247,complete,3404,2025-01-07T00:22:00
u216,i84,play,1008,2025-02-28T03:34:00
u187,i149,pause,219,2025-01-22T17:58:00
u149,i91,pause,97,2025-01-30T12:28:00
u136,i160,pause,104,2025-01-01T22:35:00
u212,i219,pause,288,2025-01-28T14:50:00
u3,i60,skip,34,2025-01-03T04:18:00
u157,i223,play,2616,2025-01-13T07:17:00
u139,i161,like,2679,2025-01-25T05:19:00
u112,i18,play,3562,2025-01-18T03:18:00
u18,i32,play,742,2025-02-07T09:03:00
u140,i17,play,2527,2025-02-23T15:25:00
u155,i169,play,3450,2025-01-04T11:23:00
u211,i18,play,2652,2025-01-10T06:33:00
u206,i142,complete,3385,2025-01-16T11:13:00
u32,i179,complete,3395,2025-01-01T15:26:00
u116,i67,play,2538,2025-02-03T08:07:00
u185,i22,like,3168,2025-01-07T02:16:00
u216,i143,play,2528,2025-02-15T12:00:00
u175,i182,save,129,2025-02-05T11:27:00
u35,i244,complete,2341,2025-01-12T23:31:00
u162,i195,pause,224,2025-01-24T21:06:00
u40,i137,play,2454,2025-01-21T18:27:00
u46,i9,play,2575,2025-01-10T03:16:00
u192,i79,play,3413,2025-01-05T05:56:00
u117,i42,play,1392,2025-02-26T16:20:00
u119,i163,play,498,2025-02-18T13:46:00
u126,i100,complete,1844,2025-01-10T01:42:00
u183,i166,play,2728,2025-02-02T05:34:00
u1,i76,play,279,2025-01-15T19:33:00
u204,i123,play,1332,2025-01-20T13:24:00
u126,i101,pause,269,2025-02-18T20:27:00
u106,i232,skip,37,2025-01-31T00:14:00
u4,i200,complete,1388,2025-02-17T03:05:00
u78,i199,play,608,2025-02-08T09:28:00
u93,i58,complete,1394,2025-01-28T12:24:00
u155,i51,skip,7,2025-01-30T18:52:00
u206,i123,play,994,2025-02-27T19:40:00
u133,i80,like,996,2025-02-13T21:53:00
u65,i15,save,38,2025-02-11T15:36:00
u91,i7,play,2301,2025-01-03T20:15:00
u61,i79,skip,38,2025-02-01T10:21:00
u3,i88,like,677,2025-01-09T14:06:00
u193,i148,complete,1479,2025-01-06T05:21:00
u136,i253,like,688,2025-01-18T21:09:00
u148,i92,like,1937,2025-01-22T22:16:00
u118,i51,save,48,2025-02-03T17:10:00
u58,i127,like,3449,2025-01-24T16:03:00
u114,i106,play,1185,2025-01-16T17:06:00
u183,i57,like,154,2025-01-19T03:12:00
u149,i85,complete,1151,2025-02-07T10:14:00
u35,i45,play,502,2025-01-09T14:08:00
u154,i165,play,2482,2025-01-27T23:05:00
u109,i133,play,1998,2025-01-28T19:06:00
u172,i211,play,601,2025-01-05T12:21:00
u44,i33,pause,187,2025-01-25T00:49:00
u1,i43,pause,110,2025-01-21T17:18:00
u192,i91,play,1258,2025-02-13T07:59:00
u18,i148,skip,30,2025-01-16T17:16:00
u108,i171,like,304,2025-01-24T10:49:00
u72,i257,play,3581,2025-01-17T22:03:00
u145,i111,play,617,2025-02-02T01:00:00
u60,i24,like,1679,2025-01-07T08:14:00
u180,i92,play,3539,2025-01-17T22:03:00
u56,i5,play,2718,2025-02-22T22:22:00
u206,i242,play,3198,2025-02-22T12:09:00
u12,i249,play,497,2025-02-15T19:28:00
u206,i59,pause,85,2025-02-28T04:24:00
u134,i241,play,3540,2025-01-08T04:04:00
u194,i236,skip,22,2025-02-21T15:54:00
u88,i225,play,3195,2025-02-03T23:41:00
u146,i33,like,3174,2025-02-12T14:06:00
u3,i84,play,1900,2025-02-06T12:29:00
u74,i22,like,1543,2025-01-22T09:27:00
u8,i243,complete,3114,2025-03-01T01:45:00
u38,i16,complete,1617,2025-01-05T00:06:00
u103,i91,play,2170,2025-01-22T16:25:00
u33,i39,play,2741,2025-01-15T17:36:00
u107,i217,play,3532,2025-02-16T21:03:00
u147,i30,play,2464,2025-02-25T01:53:00
u123,i138,play,965,2025-01-21T23:49:00
u19,i165,play,842,2025-01-29T06:11:00
u71,i139,play,3473,2025-02-03T18:14:00
u69,i73,pause,224,2025-02-16T22:22:00
u213,i86,pause,103,2025-02-10T22:12:00
u95,i254,save,83,2025-01-26T21:50:00
u98,i114,complete,2550,2025-02-03T13:22:00
u178,i31,pause,259,2025-01-15T15:25:00
u86,i202,pause,257,2025-01-02T15:04:00
u144,i7,complete,1437,2025-02-27T01:51:00
u55,i19,play,974,2025-01-28T04:47:00
u26,i139,play,2326,2025-02-03T04:47:00
u185,i8,play,3016,2025-01-03T16:15:00
u81,i260,save,154,2025-01-03T16:05:00
u91,i222,play,2314,2025-02-15T20:01:00
u22,i215,complete,1950,2025-02-15T16:44:00
u174,i194,play,168,2025-01-01T16:40:00
u99,i114,like,2258,2025-01-04T06:42:00
u37,i157,save,65,2025-02-10T14:48:00
u29,i201,play,245,2025-01-28T09:22:00
u48,i180,play,1609,2025-01-11T15:33:00
u163,i159,play,2956,2025-01-25T07:19:00
u59,i71,pause,148,2025-01-06T09:38:00
u40,i3,complete,1441,2025-02-24T09:35:00
u107,i182,pause,164,2025-02-07T01:47:00
u110,i157,complete,2009,2025-02-26T19:12:00
u123,i21,skip,14,2025-01-06T17:14:00
u153,i44,save,146,2025-01-13T13:37:00
u45,i228,play,1300,2025-02-22T01:49:00
u193,i123,play,3586,2025-01-21T07:43:00
u61,i25,complete,833,2025-01-21T12:04:00
u81,i154,play,3282,2025-01-21T16:43:00
u54,i219,pause,61,2025-01-31T15:27:00
u66,i53,skip,9,2025-01-30T15:27:00
u116,i245,complete,455,2025-02-24T21:50:00
u201,i145,complete,372,2025-02-02T07:05:00
u130,i115,play,1303,2025-01-26T11:49:00
u200,i141,play,1643,2025-01-22T17:15:00
u156,i3,play,523,2025-01-23T17:59:00
u117,i91,play,3435,2025-02-11T15:07:00
u90,i157,play,1553,2025-02-08T18:40:00
u189,i157,play,3296,2025-02-20T14:59:00
u125,i107,play,573,2025-01-17T07:51:00
u16,i31,play,910,2025-02-28T16:58:00
u97,i188,complete,3049,2025-02-25T13:04:00
u184,i60,play,629,2025-01-20T10:01:00
u212,i62,pause,190,2025-01-22T09:00:00
u76,i48,play,800,2025-02-19T09:26:00
u100,i117,complete,1285,2025-02-09T00:18:00
u37,i77,play,245,2025-02-12T00:17:00
u142,i135,pause,286,2025-02-28T07:18:00
u163,i89,play,2563,2025-01-09T02:52:00
u158,i203,play,2735,2025-02-24T05:03:00
u46,i168,play,1857,2025-03-01T15:18:00
u216,i198,play,2195,2025-02-14T01:42:00
u15,i198,play,425,2025-01-01T03:55:00
u154,i43,play,983,2025-01-26T06:16:00
u56,i110,complete,658,2025-01-15T04:51:00
u171,i126,pause,157,2025-01-16T21:38:00
u140,i198,play,2184,2025-01-08T17:39:00
u214,i228,play,813,2025-01-13T13:36:00
u118,i82,save,109,2025-02-08T04:12:00
u5,i37,play,3470,2025-02-24T17:28:00
u35,i28,play,3153,2025-01-09T19:28:00
u113,i122,complete,1007,2025-02-09T19:51:00
u207,i176,play,123,2025-02-24T12:46:00
u170,i176,play,742,2025-01-02T14:16:00
u113,i9,like,306,2025-02-05T15:54:00
u159,i18,play,1284,2025-02-03T11:14:00
u65,i43,play,3565,2025-02-26T23:20:00
u158,i207,pause,280,2025-01-14T20:24:00
u188,i98,skip,6,2025-01-20T23:31:00
u164,i126,skip,31,2025-02-08T21:55:00
u172,i252,pause,206,2025-01-28T21:05:00
u190,i123,play,269,2025-02-17T01:54:00
u134,i76,save,109,2025-02-02T18:11:00
u183,i84,like,2536,2025-02-02T22:48:00
u183,i154,play,690,2025-01-03T22:20:00
u66,i175,save,118,2025-01-13T22:58:00
u105,i104,complete,732,2025-02-22T13:41:00
u129,i87,play,3455,2025-01-28T04:39:00
u211,i10,play,948,2025-02-11T00:11:00
u151,i208,play,1965,2025-02-22T08:51:00
u32,i217,skip,18,2025-01-31T09:50:00
u11,i185,pause,107,2025-01-25T06:08:00
u8,i26,play,2600,2025-01-12T13:56:00
u40,i157,play,1296,2025-02-28T07:30:00
u57,i249,play,1311,2025-01-25T22:37:00
u58,i152,play,800,2025-01-26T20:20:00
u45,i136,play,2332,2025-01-22T16:05:00
u31,i222,play,1337,2025-02-11T12:35:00
u68,i56,play,1687,2025-01-19T05:02:00
u30,i7,play,792,2025-02-09T06:41:00
u36,i157,complete,554,2025-02-15T16:45:00
u166,i132,play,2410,2025-01-29T06:36:00
u125,i43,play,3004,2025-02-11T16:09:00
u103,i10,play,803,2025-01-25T01:57:00
u17,i33,play,461,2025-02-19T17:01:00
u104,i33,skip,22,2025-02-19T02:43:00
u189,i227,play,1773,2025-01-15T02:59:00
u16,i36,play,611,2025-02-19T14:22:00
u167,i48,play,2438,2025-01-08T22:44:00
u2,i234,pause,200,2025-02-23T15:20:00
u8,i204,like,2527,2025-01-02T13:20:00
u139,i90,save,41,2025-02-05T21:39:00
u120,i245,complete,2196,2025-02-20T10:49:00
u97,i149,complete,353,2025-01-30T12:58:00
u216,i62,like,2840,2025-02-18T21:29:00
u89,i187,play,2233,2025-02-04T17:24:00
u46,i144,pause,67,2025-01-07T20:02:00
u12,i161,play,1050,2025-01-31T16:35:00
u80,i53,play,627,2025-02-25T12:44:00
u107,i245,play,919,2025-02-21T18:25:00
u208,i46,play,2652,2025-01-15T21:27:00
u171,i59,complete,3130,2025-02-24T07:37:00
u111,i163,skip,21,2025-01-17T13:03:00
u79,i22,complete,2261,2025-02-24T05:27:00
u213,i230,complete,1051,2025-02-18T18:41:00
u141,i128,like,1044,2025-02-09T14:08:00
u155,i223,play,882,2025-02-03T09:31:00
u111,i38,play,2900,2025-01-24T11:42:00
u164,i49,complete,632,2025-01-22T04:06:00
u18,i239,play,574,2025-01-06T22:23:00
u154,i203,play,218,2025-02-01T08:58:00
u182,i204,complete,2571,2025-01-11T13:45:00
u121,i122,play,1547,2025-01-10T03:35:00
u97,i66,complete,2840,2025-02-17T23:21:00
u176,i161,pause,280,2025-01-08T19:51:00
u212,i149,play,550,2025-01-31T11:13:00
u108,i11,pause,117,2025-02-20T00:21:00
u214,i81,like,1647,2025-01-24T08:48:00
u95,i235,save,154,2025-01-03T06:31:00
u189,i144,complete,1847,2025-02-12T16:32:00
u107,i226,play,964,2025-01-22T12:50:00
u140,i145,pause,166,2025-03-01T07:42:00
u100,i240,pause,285,2025-01-28T22:13:00
u74,i27,skip,19,2025-01-17T18:53:00
u180,i160,play,913,2025-02-15T14:42:00
u140,i69,complete,3358,2025-02-28T19:49:00
u186,i26,play,1128,2025-02-06T09:13:00
u90,i76,play,880,2025-02-27T11:35:00
u68,i167,play,1730,2025-02-21T06:32:00
u10,i219,like,590,2025-02-14T11:44:00
u34,i121,skip,33,2025-01-15T01:23:00
u127,i224,skip,18,2025-01-30T12:08:00
u2,i88,play,2826,2025-02-10T01:29:00
u166,i200,play,1336,2025-01-26T09:29:00
u8,i86,skip,16,2025-02-13T05:02:00
u153,i246,play,3410,2025-02-23T12:30:00
u81,i47,play,2437,2025-02-25T05:48:00
u133,i45,pause,178,2025-02-14T19:30:00
u105,i11,skip,12,2025-01-13T09:35:00
u125,i59,skip,6,2025-02-14T07:53:00
u127,i116,play,796,2025-01-25T07:22:00
u135,i119,pause,266,2025-02-06T08:08:00
u4,i256,play,3371,2025-01-24T07:21:00
u170,i14,like,2297,2025-01-02T17:58:00
u57,i256,play,1901,2025-01-19T06:06:00
u40,i191,play,2113,2025-01-31T01:58:00
u19,i180,play,2352,2025-01-03T03:50:00
u20,i242,skip,20,2025-01-11T15:14:00
u99,i177,like,1778,2025-02-12T03:37:00
u205,i167,play,2710,2025-02-26T23:17:00
u195,i74,play,2014,2025-01-20T14:21:00
u166,i143,skip,31,2025-02-07T20:37:00
u176,i119,like,889,2025-02-24T21:05:00
u171,i187,play,1497,2025-01-24T09:52:00
u62,i62,complete,1501,2025-02-18T05:18:00
u39,i144,save,62,2025-01-30T16:54:00
u38,i159,skip,11,2025-01-28T07:38:00
u113,i119,play,1088,2025-01-22T16:43:00
u186,i162,play,1241,2025-02-08T05:10:00
u79,i99,play,2832,2025-01-23T15:46:00
u175,i82,complete,1518,2025-01-03T14:26:00
u100,i159,complete,1452,2025-02-01T14:57:00
u22,i55,play,2353,2025-01-21T09:28:00
u9,i145,complete,2512,2025-01-24T10:10:00
u109,i164,skip,25,2025-01-30T14:30:00
u156,i49,play,658,2025-01-21T04:30:00
u190,i10,complete,285,2025-01-08T10:58:00
u64,i98,skip,9,2025-01-30T03:31:00
u203,i193,play,414,2025-01-27T11:12:00
u206,i83,skip,17,2025-01-10T02:46:00
u94,i80,skip,36,2025-01-03T04:56:00
u25,i39,play,3141,2025-02-12T19:45:00
u78,i40,pause,80,2025-01-14T17:34:00
u91,i247,play,331,2025-01-30T14:15:00
u72,i174,like,2381,2025-02-21T15:21:00
u156,i189,play,601,2025-02-21T12:06:00
u65,i169,play,963,2025-01-26T03:17:00
u75,i211,play,2329,2025-02-07T19:11:00
u24,i41,pause,175,2025-01-27T10:29:00
u157,i204,play,919,2025-02-13T12:08:00
u113,i32,skip,8,2025-01-29T01:22:00
u154,i176,like,301,2025-02-27T00:09:00
u170,i231,play,1560,2025-01-08T09:46:00
u10,i105,skip,5,2025-01-25T01:16:00
u78,i16,play,1105,2025-02-14T14:10:00
u33,i108,play,2158,2025-02-12T06:18:00
u129,i60,complete,2421,2025-02-10T07:18:00
u141,i8,play,2962,2025-02-13T09:54:00
u143,i197,complete,1006,2025-02-17T17:18:00
u115,i234,play,2971,2025-02-04T03:25:00
u61,i66,save,148,2025-01-08T01:17:00
u17,i233,play,3280,2025-02-28T21:38:00
u132,i87,pause,195,2025-02-08T08:14:00
u78,i153,play,2269,2025-03-01T22:07:00
u43,i127,play,507,2025-02-25T07:36:00
u167,i78,play,2399,2025-02-07T09:31:00
u35,i235,save,32,2025-01-17T05:24:00
u3,i25,play,293,2025-01-14T23:45:00
u123,i102,like,1357,2025-03-01T22:49:00
u77,i109,play,1202,2025-01-04T17:58:00
u32,i202,play,1506,2025-02-10T10:52:00
u90,i163,play,3198,2025-01-09T17:20:00
u136,i205,play,3383,2025-01-25T07:36:00
u158,i204,play,1866,2025-02-21T19:53:00
u201,i58,play,1697,2025-01-16T09:15:00
u209,i240,skip,38,2025-01-03T02:45:00
u127,i216,play,1044,2025-02-02T02:08:00
u144,i142,skip,39,2025-01-24T23:37:00
u52,i222,play,350,2025-01-11T15:43:00
u142,i249,play,2959,2025-01-18T11:43:00
u121,i22,like,440,2025-02-15T00:39:00
u190,i224,skip,16,2025-01-12T07:29:00
u83,i26,skip,16,2025-02-04T14:46:00
u71,i109,skip,29,2025-02-13T02:12:00
u160,i27,like,3252,2025-01-12T00:12:00
u187,i97,like,1274,2025-02-17T16:33:00
u131,i34,complete,1908,2025-01-13T02:18:00
u106,i125,skip,33,2025-02-25T23:57:00
u187,i196,skip,10,2025-01-09T09:12:00
u11,i152,play,2168,2025-01-30T12:47:00
u117,i208,play,1132,2025-01-13T19:06:00
u101,i154,skip,16,2025-02-08T00:22:00
u102,i135,skip,25,2025-01-17T17:37:00
u194,i255,play,3590,2025-01-22T08:25:00
u139,i167,like,2528,2025-01-31T12:15:00
u145,i15,pause,203,2025-01-13T13:51:00
u190,i26,complete,1354,2025-01-26T09:36:00
u4,i71,play,2803,2025-01-20T10:32:00
u186,i184,play,951,2025-02-06T11:37:00
u161,i222,complete,3519,2025-01-21T20:07:00
u54,i37,complete,3291,2025-02-02T17:47:00
u2,i154,pause,162,2025-01-25T16:24:00
u159,i14,play,582,2025-02-14T18:30:00
u69,i101,skip,27,2025-01-29T15:08:00
u120,i121,play,188,2025-01-22T16:47:00
u122,i244,play,1427,2025-01-02T11:36:00
u56,i83,play,2907,2025-01-30T02:38:00
u126,i213,complete,261,2025-03-01T20:34:00
u91,i177,play,1285,2025-02-18T06:39:00
u38,i66,complete,3118,2025-01-02T12:14:00
u70,i47,play,2951,2025-01-06T15:29:00
u110,i86,play,1937,2025-02-26T17:09:00
u212,i114,complete,2079,2025-01-13T15:12:00
u132,i97,play,1780,2025-01-16T19:58:00
u46,i113,pause,104,2025-01-14T12:50:00
u206,i220,save,162,2025-02-02T14:37:00
u33,i30,play,2455,2025-01-13T09:37:00
u204,i84,play,382,2025-02-04T23:43:00
u32,i96,play,2710,2025-02-28T07:25:00
u184,i37,pause,162,2025-01-01T09:39:00
u124,i116,play,1586,2025-02-01T23:11:00
u203,i251,complete,1063,2025-01-28T00:11:00
u87,i35,play,2768,2025-01-15T20:16:00
u113,i175,play,3115,2025-01-13T00:55:00
u102,i79,complete,1187,2025-02-21T09:07:00
u109,i228,like,1397,2025-01-10T00:13:00
u60,i246,complete,386,2025-01-08T03:53:00
u190,i153,play,3297,2025-01-09T00:18:00
u51,i207,play,2925,2025-02-07T10:31:00
u126,i129,play,2556,2025-01-08T00:54:00
u183,i15,play,2134,2025-02-23T21:39:00
u99,i199,like,1275,2025-02-14T19:55:00
u207,i237,pause,217,2025-01-31T20:16:00
u14,i149,play,1382,2025-01-22T04:39:00
u29,i229,play,3202,2025-02-16T19:35:00
u69,i237,skip,20,2025-02-20T05:53:00
u130,i109,like,2899,2025-01-27T20:03:00
u161,i109,play,2299,2025-01-05T14:50:00
u173,i101,play,2364,2025-01-16T01:08:00
u206,i184,complete,2180,2025-02-26T19:39:00
u145,i226,complete,553,2025-02-02T19:24:00
u154,i238,complete,3109,2025-02-13T02:10:00
u146,i52,complete,2608,2025-02-25T16:12:00
u184,i136,play,1683,2025-01-30T07:25:00
u2,i171,play,2235,2025-02-07T15:58:00
u81,i127,pause,283,2025-01-04T18:13:00
u195,i181,play,398,2025-01-29T04:49:00
u108,i54,like,135,2025-02-15T16:08:00
u84,i65,complete,756,2025-02-04T12:59:00
u49,i55,play,611,2025-01-22T05:44:00
u52,i10,complete,2187,2025-01-05T14:42:00
u103,i113,play,526,2025-01-30T01:46:00
u36,i197,play,1696,2025-02-25T10:53:00
u55,i229,like,3138,2025-02-17T06:04:00
u195,i233,pause,233,2025-02-03T19:53:00
u8,i254,like,1031,2025-01-23T00:02:00
u32,i222,play,2015,2025-02-25T21:41:00
u120,i46,play,1123,2025-01-18T02:06:00
u138,i49,play,1726,2025-01-08T09:19:00
u136,i128,play,2052,2025-01-21T18:00:00
u174,i31,play,3107,2025-02-03T22:13:00
u36,i153,skip,10,2025-02-11T07:16:00
u56,i67,complete,304,2025-02-12T09:39:00
u27,i105,play,953,2025-02-27T15:50:00
u82,i94,like,623,2025-01-22T04:25:00
u19,i210,play,2488,2025-02-07T22:08:00
u84,i195,like,538,2025-02-03T21:38:00
u105,i220,save,131,2025-02-01T23:52:00
u52,i115,play,1812,2025-02-10T05:27:00
u110,i197,pause,261,2025-01-28T02:02:00
u67,i90,complete,944,2025-02-06T02:04:00
u190,i63,like,2574,2025-01-13T21:35:00
u68,i142,play,237,2025-02-11T10:25:00
u25,i3,play,760,2025-02-24T02:16:00
u95,i183,play,1927,2025-01-14T13:01:00
u47,i190,like,2653,2025-01-05T20:13:00
u110,i196,play,1294,2025-01-10T06:02:00
u119,i58,pause,131,2025-01-22T22:42:00
u82,i166,play,2047,2025-01-18T12:26:00
u93,i230,play,2628,2025-03-01T18:00:00
u209,i207,play,3032,2025-02-17T14:22:00
u11,i184,like,2797,2025-01-20T01:54:00
u24,i169,play,3095,2025-02-17T22:08:00
